,S. No.,Message_body,Label
164,,You are a SiPix Digital Camera! call 09061221061 from landline. within 28days. T Cs. M221BP. 2yr warranty. 150ppm. . p p £ 3. 99,Spam
165,,Bored! Chat n now! 0871750. . 11! BT - national rate 10p / min only from landlines!,Spam
166,,Sunshine Quiz! a DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,Spam
167,,I ' d like to tell you my darkest fantasies. Call me 09094646631 just 60p / min. To stop call 08712460324 (nat ),Spam
168,,URGENT! Your Mobile number has been awarded with a 2000 prize GUARANTEED. Call 09061790121 from line. Claim. Valid 12hrs only 150ppm,Spam
169,,"Had your mobile 10 mths? to the / Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins / texts. YES for a call",Spam
170,,Free video camera phones with Price line rental for 12 mths and 500 cross ntwk 100. Call MobileUpd8 08001950382 or Call2OptOut / 674,Spam
171,,* * FREE * * Thanks for using the Auction Subscription Service. 18. 150p / MSGRCVD 2 an Auction txt OUT. 2 txt STOP 08718726270,Spam
172,,Get the official ENGLAND poly ringtone or colour on yer for tonights game! Text or FLAG to 84199. Optout txt ENG STOP W111WX £ 1. 50,Spam
173,,PRIVATE! Your Account Statement for 078,Spam
174,,u a winner U ave been specially selected 2 £ 1000 cash or a 4 * (flights inc) speak to a operator 2 claim 0871277810710p / min (18 ),Spam
175,,PRIVATE! 2003 Account Statement for shows 800 un -. I. M. points. 08715203685 Identifier Code: 4xx26 Expires 13 / 10 / 04,Spam
176,,ree in 2 a weekly comp for a to win an ipod. Txt POD to 80182 to get (std txt rate) T & C ' s apply 08452810073 for 18 +,Spam
177,,! Your Account for <fone no> shows 800 un - redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires / 10 / 04,Spam
178,,You have 1 new. Please call 08715205273,Spam
179,,URGENT! Your Mobile has been awarded with a £ 2000 prize. Call 09061790126 from land. Claim 3030. Valid 12hrs only 150ppm,Spam
180,,The latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call for delivery,Spam
181,,.. uk (lots of cash this weekend!) www. cashbin. co. uk Dear Welcome to the weekend We have got our biggest and best EVER give! ! These..,Spam
182,,Are being off! Get your mobile content from. . com call 08717509990 poly / true / Pix / Ringtones / Games six downloads for only 3,Spam
183,,"URGENT! Last weekend ' s draw that you have won £ 1000 or a Spanish holiday! CALL NOW 09050000332 to claim. T &: , SW7 3SS. 150ppm",Spam
184,,"> Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra or a badass Hoody wallpaper - all!",Spam
185,,This msg is for your mobile content order It has been resent as previous attempt failed to error Queries to customersqueries @ netvision. uk.,Spam
186,,"Get 3 Lions tone, reply 4 mono or lionp 4 poly. 4 more go www. ringtones. co. , the original n best. Tones 3GBP network operator rates apply.",Spam
187,,Space 4 a chance win orig Arcade Game console. Press 0 for Arcade (std WAP charge) See o2. co. uk / games 4 Terms + settings. No purchase,Spam
188,,"Goal! Arsenal 4 (Henry, 7 Liverpool 2 Henry scores with a simple shot from 6 from a pass by Bergkamp to Arsenal a goal margin after 78 mins.",Spam
189,,You have 1 new message. Call - 083 -,Spam
190,,Your unique user ID is 1172. For removal send STOP to 87239 services,Spam
191,,Get your garden for summer with a FREE selection of summer bulbs and seeds worth £ 33: 50 only with The Scotsman this Saturday. To stop. co.,Spam
192,,"Mobiles from 2004, MUST GO! : NOKIA to No: 89545 & collect yours today! ONLY £ 1. www. - tc. biz 2optout 087187262701. 50gbp / mtmsg18 TXTAUCTION.",Spam
193,,"YOU VE WON! Your 4 * Del Sol or £ await collection. Call 09050090044 Now. SAE, TC s, POBox334, Stockport, SK38xh, Cost 1. 50 / pm, Max10mins",Spam
194,,"Urgent - call. Your complimentary 4 * Ibiza Holiday or £, 000 cash await collection SAE T & Cs PO BOX 434 SK3 8WP 18 +",Spam
195,,URGENT! We are trying to contact U. Todays that you have won a £ 2000 prize. Call 09058094507 from land line. Claim 3030. 12hrs only,Spam
196,,MESSAGE. This is a final contact attempt. have messages waiting out our customer claims dept. Expires / 4 / 04. Call 08717507382 NOW!,Spam
197,,CDs 4u: Congratulations ur awarded £ of CD gift vouchers or £ 125 guaranteed & Freeentry 2 wkly draw xt MUSIC to 87066 TnCs www. ldew. com1win150ppmx3age16,Spam
198,,December only! Had your +? are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on,Spam
199,,Please call our customer service representative on 0800 6031 between 10am - 9pm as you have a guaranteed 1000 cash or £ 5000 prize!,Spam
200,,FREE for 1st week! No1 Nokia tone 4 ur every week just txt NOKIA to Get and tell mates. www. getzed. co. uk POBox 36504 W45WQ 16 + norm150p / tone,Spam
201,,"Is the 2nd time we have tried 2 contact u. U have won the Pound. 2 claim is easy, call NOW! Only 10p per min. BT - national - rate",Spam
202,,PRIVATE! Your 2003 Account for 800 un - redeemed S. . M. points. Call Identifier Code: 42810 Expires 29 / 10 / 0,Spam
203,,2p per min to Germany from your BT. Just 2p per. Check PlanetTalkInstant. com for info & T ' s & C ' s. Text stop to opt out,Spam
204,,You can £ 2. 50 to UNICEF ' s Asian Tsunami disaster by texting DONATE to. £ 2. 50 will be added to your next bill,Spam
205,,"u r 2 TEXTCOMP 250 wkly comp. 1st wk? s question follows, subsequent wks charged @ 150p / msg. 2 unsubscribe txt STOP 2, custcare",Spam
206,,"Hi, the SEXYCHAT girls are for you to text them. now for a great night chatting. STOP to stop this service",Spam
207,,Someonone you is trying to contact you our dating service! To find out who it could be call from your mobile or landline 09064015307,Spam
208,,Dear 0776xxxxxxx ' ve been to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p / MsgrcvdHG / / 2Lands / Row / W1J6HL 18yrs,Spam
209,,! Your 2003 Account Statement for 800 un - redeemed S. I. M. points. Call 08718738001 Identifier Code: 49557 Expires 26 / /,Spam
210,,URGENT This is our to contact U. Your £ 900 prize from is still awaiting collection. To claim CALL NOW 09061702893,Spam
211,,"URGENT! Your Mobile No 07808726822 was awarded a £ 2, 000 Bonus Caller on 02 / 09 / 03! is our 2nd attempt to contact! 0871 - 872 - 9758 BOX95QU",Spam
212,,PRIVATE! Account Statement for 078498 * * * * 7 shows unredeemed Bonus Points. To claim call 08719180219 Identifier Code: Expires 06. 05. 05,Spam
213,,A £ 400 REWARD FOR YOU! computer has randomly picked you from our loyal mobile customers to receive a £ 400 reward. Just call 09066380611,Spam
214,,/ / tms. widelive. com / index. wml? id = & first = true ¡ C C Ringtone,Spam
215,,"Congrats mobile 3G Videophones R yours. call now! videochat wid ur mates, play java games, polypH music, noline rentl. bx420. ip4. 5we.",Spam
216,,Call 09095350301 and send our girls into erotic ecstacy. Just 60p /. To texts call 08712460324 (nat ),Spam
217,,83039 62735 = £ 450 UK AccommodationVouchers terms & conditions apply. 2 you your claim number which is 15541,Spam
218,,You won ' t believe it but it ' s true. It ' s Txts! G now to truly amazing things that will blow your mind. From only 18p / txt,Spam
219,,": We have a winner! . T. Foley won an iPod! More exciting soon, so keep an eye on ur mobile or visit www. win -. co. uk",Spam
220,,Want explicit SEX in 30? Ring 02073162414 now! Costs 20p / min Gsex POBOX WC1N 3XX,Spam
221,,Thanks 4 your continued support Your this week will enter u in2 our draw 100 cash. Name the NEW US President? txt ans to 80082,Spam
222,,The current leading is 151. pause this auction send OUT. Customer Care: 08718726270,Spam
223,,PRIVATE! Your 2003 Account for 07808247860 shows 800 un - redeemed. I. M. points. 08719899229 Identifier Code: 40411 Expires 06 / 11 /,Spam
224,,XMAS & ur awarded £ 500 CD gift vouchers & free entry 2 r 100 weekly draw txt MUSIC to 87066 TnC www. Ldew. com1win150ppmx3age16subscription,Spam
225,,"If you don ' t, your prize will go to another customer. & C at www. t - c. biz 18 + 150p / min Polo Ltd Suite 373 W1J 6HL back if",Spam
226,,"This is the 2nd time we have tried 2 contact. U have won the £ 750 Pound prize. claim is easy, call NOW1! 10p per minute. - national - rate.",Spam
227,,£ 400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile to receive a £ 400. Just 09066380611,Spam
228,,Warner Village 83118 C Colin Farrell in SWAT this wkend @ Warner Village & get 1 free med. Popcorn! Just show msg + @ kiosk. 4 - 7 / 12. C t & @ kiosk. Reply SONY mre film,Spam
229,,Do you want a New 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder or 08000930705.,Spam
230,,dating: i have had two of these. started after i sent a text to talk sport last week. connection do you or coincidence?,Spam
231,,YOU ARE CHOSEN TO A £ 350 AWARD! Pls call claim number 09066364311 to collect your which you are selected to receive as a valued.,Spam
232,,"This is Amy, we will be sending you a in a couple of days, which will give you an access to all the adult parties. ..",Spam
233,,Natalja (/ F) is inviting you to be her friend. - 440 or NO - See her: www. SMS. ac / u / nat27081980 STOP? Send STOP to 62468,Spam
234,,We tried to contact you re your reply to our offer of a Video 750 anytime any network mins Half Price Line Rental or call 08000930705,Spam
235,,"FROM O2: To 2. 50 pounds free call credit and of great offers pls reply 2 this text with your valid name, no and postcode",Spam
236,,lyricalladie (21 / F) is inviting you to be her friend. YES - or NO - 910. See her: www. . ac / u / hmmross STOP? STOP FRND to,Spam
237,,PRIVATE! Your Account Statement for shows 800 un - redeemed. I. M. points. 08718738002 Identifier Code: 48922 Expires 21 / / 04,Spam
238,,Urgent! Please 09061213237 from a landline. £ 5000 or a * holiday await collection. T & SAE PO Box 177 M227XY. 16 +,Spam
239,,Todays Voda numbers ending with are selected to receive a £ 350 reward. If you have a match please call 08712300220 claim 7684 rates apply.,Spam
240,,"! Last URGENT weekend ' s draw that shows you have won 1000 £ cash or a Spanish holiday! CALL 09050000332 NOW to claim. T C &: RSTM SW7 3SS, . 150ppm",Spam
241,,"Had your mobile 10 mths Update? to Camera the latest phones / Video for FREE KEEP. UR NUMBER SAME Get, free extra mins / texts. Text YES for call a",Spam
242,,Natalie 20 (/ F) is inviting you to be her friend Reply. YES - NO 165 or 165 - See her: www SMS. . / ac u / STOP natalie2k9 Send? STOP to FRND 62468,Spam
243,,CDs 4u: Congratulations awarded ur 500 £ of gift CD vouchers or £ 125 gift guaranteed & Freeentry 2 100 £ draw MUSIC wkly xt to TnCs 87066 www. ldew. com1win150ppmx3age16,Spam
244,,Jamster To! get your free wallpaper text HEART 88888 to now! T C apply & 16. only Need. Help? Call. 08701213186,Spam
245,,09095350301 call send and our into girls ecstacy erotic. Just 60p min /. To stop texts 08712460324 call (nat rate ),Spam
246,,"New Mobiles from, 2004 MUST GO! Txt: NOKIA to No: 89545 collect & today yours! ONLY From £ www 1. . 4 -. tc 2optout biz 087187262701. 50gbp / mtmsg18 TXTAUCTION.",Spam
247,,1 no POLYPHONIC tone 4 ur mob every week! Just to txt PT2 87575. 1st Tone FREE! so txtin get now and tell ur friends. 150p /. tone 16 HL reply 4info,Spam
248,,"Babe hi Chloe its, how u r I? was smashed on saturday night, it was great! How was your weekend? U missing been me? SP visionsms. stop com Text to 150p text stop /",Spam
249,,( 21 lyricalladie / F) is inviting you to be her friend. Reply YES - 910 NO or -. 910 See her: www. SMS. ac / u hmmross /? STOP Send FRND STOP 62468 to,Spam
250,,"Hi this Amy is, we will be you sending a free phone in number couple a days of, which will you give access an to all the parties adult. ..",Spam
251,,Someonone you know trying is to via contact you our dating service To! out find who could it be call from your mobile or BOX334SK38ch 09064015307 landline,Spam
252,,Have you 1 message new Call. 0207 083 - - 6089,Spam
253,,Todays ending Vodafone numbers with 4882 selected are to a a £ receive 350 award. If number your call matches 09064019014 to receive your £ 350 award.,Spam
254,,62735 83039 = £ 450 UK Break AccommodationVouchers terms & conditions apply. claim 2 you mustprovide number your claim which 15541 is,Spam
255,,Get your garden ready summer for with FREE a of selection summer bulbs seeds and worth £ 33: only 50 with Scotsman The this Saturday To. stop notxt go2. . uk co,Spam
256,,Records our indicate u maybe entitled to 5000 pounds in compensation for Accident the you had claim. 4 To reply free with CLAIM to msg this. STOP 2 stop txt,Spam
257,,Cashbin. co. uk (lots Get of cash this weekend!) www cashbin. .. co uk Dear Welcome to the have weekend We got biggest our and EVER best away cash! give! These..,Spam
258,,! URGENT We are to trying contact. U Todays draw shows that you have won a £ GUARANTEED 2000 prize 09058094507. Call from line land. Claim 3030 Valid. only 12hrs,Spam
259,,: dating i have two had of these. started after Only i sent text a to sport radio last talk. week Any connection do think you or coincidence?,Spam
260,,Out check Choose Your Babe Videos @. sms shsex. fgkslpoPW netUN fgkslpo,Spam
261,,Can you donate £. 2 to UNICEF 50 ' s Tsunami Asian support disaster fund by DONATE texting to. 864233 £ 2. 50 will be to added your bill next,Spam
262,,"What got it takes take 2 part in the WRC Rally Oz in? U can with Lucozade Energy! RALLY Text LE to (61200 25p ), see or packs lucozade. co uk. / wrc & itcould be! u",Spam
263,,Voucher dear holder next Have your on meal us. Use the on following link pc your 2 a enjoy 2 4 1 dining experiencehttp: / / www. vouch4me. com / etlp dining / asp.,Spam
264,,"! goal 4 Arsenal Henry (, 7 v Liverpool 2 Henry with scores a simple from shot 6 yards from a pass by to Bergkamp Arsenal give a 2 goal margin after 78. mins",Spam
265,,AUCTION SMS - BRAND A Nokia NEW is 7250 up auction 4 today Auction! is FREE 2 & join take part! Txt NOKIA to 86021 now!,Spam
266,,Explicit want in SEX secs 30? Ring 02073162414 now Costs! 20p / Gsex POBOX min 2667 WC1N 3XX,Spam
267,,25 natalja (/ F) is inviting you to be friend her Reply. YES - or 440 - NO See 440 her www: . SMS. / ac u nat27081980 / STOP? Send STOP FRND to 62468,Spam
268,,Camera You - awarded are SiPix a Digital Camera! call 09061221066 fromm landline. within Delivery days. 28,Spam
269,,Sunshine Quiz Win! a super Sony DVD if recorder you the canname of capital Australia? MQUIZ Text to B 82277.,Spam
270,,We URGENT are trying to contact you Last weekends draw u shows have won a £ prize 1000 GUARANTEED 09064017295 Call code Valid Claim 12hrs K52 pm 150p,Spam
271,,"URGENT! Your Mobile 07808726822 No awarded was a 2, £ 000 Bonus Caller on Prize 02 / 09 / 03! This is 2nd our attempt to contact! YOU 0871 Call - 9758 872 - BOX95QU",Spam
272,,December only! Had your mobile + 11mths? entitled You are to update to the latest camera colour mobile for Call Free! The Update Mobile Co on FREE 08002986906,Spam
273,,"Is this the 2nd attempt to contract U, you have won this weeks top prize either of £ cash 1000 or prize £ 200. call 09066361921 Just",Spam
274,,"Congrats 2 mobile 3G R Videophones yours. 09063458130 call now! wid videochat ur mates, play java games Dload, music polypH, noline rentl bx420. ip4. . 5we 150p.",Spam
275,,PRIVATE! Statement Your 2003 Account 07808247860 for shows 800 un - redeemed S. I. . M points. 08719899229 Call Code Identifier: 40411 Expires 06 11 / / 04,Spam
276,,"Free to entry the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP £ or cash 250 wk every TXT. GREAT 80878 to / http / gr8prizes www. com. 08715705022",Spam
277,,! PRIVATE 2003 Your Statement for Account shows un 800 - redeemed S. I. M. points. Call 08715203685 Identifier Code: 4xx26 Expires 13 10 / / 04,Spam
278,,4 thanks your continued support question Your this will u week enter our in2 4 100 draw £ cash. Name the NEW US President? txt ans to 80082,Spam
279,,Great News Call FREEFONE! to 08006344447 your claim guaranteed £ 1000 CASH or 2000 £ gift Speak. to a operator live! NOW,Spam
280,,"This is the 2nd we time have tried u 2. contact U have won the 750 Pound prize 2. claim is, easy call 08712101358 NOW! 10p min Only per. BT - national rate -",Spam
281,,URGENT This is 2nd our attempt contact to U. £ Your 900 prize from YESTERDAY still is collection awaiting. claim To CALL NOW 09061702893,Spam
282,,Mobile marvel Play the Ultimate official Spider - game man £ (4. 50) ur mobile on right now. Text to SPIDER 83338 for the game & we send ll u a wallpaper FREE 8Ball,Spam
283,,Get garden your ready summer for with a FREE selection of summer bulbs and seeds worth £ 33: 50 only with Scotsman The Saturday this. stop To notxt go2 co. uk.,Spam
284,,! PRIVATE Statement Your 2003 Account for shows un 800 - redeemed S. I. M. points. Call 08715203652 Code Identifier: Expires 29 42810 / / 0 10,Spam
285,,The for most breaks sparkling shopping from 45; per person 0121 call 2025050 or visit. www shortbreaks. org. uk,Spam
286,,ASKED 3MOBILE IF 0870 CHATLINES INCLU FREE IN. MINS INDIA SERVs CUST SED. L8ER YES GOT MEGA BILL. 3 DONT GIV A. SHIT BAILIFF IN DUE DAYS. I £ O 250 3 WANT £ 800,Spam
287,,Call Germany for only 1 pence minute per! Call from a line fixed number access via 861 0844 85 85 No. prepayment. Direct access! . www telediscount. co uk.,Spam
288,,Calling santa! Would your little ones like a call from Eve Santa Xmas? 09077818151 Call book to you. time Calls1 50ppm. last 3mins T 30s & C www. santacalling. com,Spam
289,,"WIN: We have a winner Mr! . T. won Foley iPod an! More exciting prizes soon, so an keep on eye ur mobile visit www or win. -. 82050 co uk.",Spam
290,,Phony 350 £ award - Todays Voda numbers ending XXXX are selected receive to a £ 350 award. If you have a please match call 08712300220 claim code quoting 3100 standard app rates,Spam
291,,"YOU VE WON! 4 Your * Del Costa Sol Holiday or £ 5000 await. collection Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, , SK38xh Cost £ 1. 50 pm / Max10mins,",Spam
292,,ree entry 2 in a comp weekly for chance a win to an ipod. to Txt POD 80182 to entry get std (txt rate) T & C ' s apply 08452810073 for details 18 +,Spam
293,,"Get Lions 3 England tone, reply 4 lionm mono or lionp 4 4 poly. more 2 go www. ringtones. . co uk, the best original n. 3GBP Tones operator network rates apply.",Spam
294,,"SERVICES SMS. for your inclusive text credits, pls www goto. comuk. net = login unsubscribe 3qxj9 STOP with, extra charge no help 08702840625. COMUK. . 220 - CM2 9AE",Spam
295,,"To Select welcome, an service O2 with added benefits. can You now our specially call trained from advisors FREE your mobile by dialling. 402",Spam
296,,Space buy Invaders 4 2 a win chance orig Game console Arcade. Press 0 for Arcade Games std (WAP charge) o2 See. co. uk / games Terms 4 + settings. No purchase,Spam
297,,I ' d to like tell you my darkest deepest fantasies Call. me just 09094646631 60p min /. To stop call texts 08712460324 nat (rate ),Spam
298,,http / /. tms. widelive com / index wml. id? 820554ad0a1705572711 = & first = ¡ true C C Ringtone ¡,Spam
299,,This msg is for your order mobile content It has been resent as previous due failed attempt to network error Queries to @ netvision customersqueries. uk. com,Spam
300,,u r winner a U ave been specially selected 2 £ receive 1000 cash or 4 a * holiday (inc flights) to speak a live operator 2 claim / 0871277810710p min (18 ),Spam
301,,Please call our customer representative service on 0800 6031 169 between - 10am as 9pm you have WON a guaranteed £ cash or 1000 £ 5000! prize,Spam
302,,"FROM REMINDER O2: To get 2 50. free credit pounds and call details of offers great pls reply 2 this text with valid your, name house no postcode and",Spam
303,,Free camera video with phones Half Price line for 12 rental mths and cross 500 ntwk mins 100. txts MobileUpd8 Call or 08001950382 Call2OptOut 674 /,Spam
304,,Ur - cash is balance pounds currently 500 - to maximize ur - cash in now send GO to 86688 only 150p / meg CC. : 08718720201 HG / / 2lands Suite342 / W1j6HL Row,Spam
305,,YOU HAVE WON As! valued a Vodafone customer computer our has YOU picked to a win 150 £ prize To. is collect easy. Just 09061743386 call,Spam
306,,YOU ARE CHOSEN TO £ RECEIVE 350 A AWARD! Pls call claim number to collect 09066364311 award your which you are selected to as receive a mobile valued customer.,Spam
307,,Only december! Had mobile your 11mths + You? are to entitled update to the latest colour camera for mobile! Free Call Mobile The Update FREE VCo on 08002986906,Spam
308,,Your user unique ID is 1172. removal For send to STOP 87239 08708034412 customer services,Spam
309,,"FREE GAME. Get Golf Rayman 4 FREE from the Arcade O2 Games. get UR 1st settings. games Reply, POST then & save activ8. Press 0 key for Arcade Termsapply.",Spam
310,,£ a 400 XMAS WAITING REWARD FOR IS YOU! computer Our has picked randomly you from our loyal mobile to receive customers a 400 £ reward. call Just 09066380611,Spam
311,,Santa! Calling Would little your ones like a call from eve Santa Xmas? 09058094583 Call book to time your.,Spam
312,,The want Video latest handset? anytime 750 any mins network? price Half rental line? Reply or 08000930705 call for tomorrow delivery,Spam
313,,* * FREE * MESSAGE * Thanks for the using Subscription Auction Service. 18. 150p 2 / MSGRCVD Skip an Auction txt. OUT Unsubscribe 2 txt STOP 08718726270 CustomerCare,Spam
314,,Bored housewives! Chat n date now 0871750! .. 77 11! BT - rate 10p national min / only landlines from!,Spam
315,,Urgent! call Please from 09061213237 landline a. 5000 £ or cash a 4 * holiday await collection. & T PO Cs SAE 177 M227XY Box. 16 +,Spam
316,,Won you ' t believe it but it ' true s. ' It s Txts! Incredible Reply now G to truly learn amazing things that blow will your. mind From O2FWD only / 18p txt,Spam
317,,URGENT! Your Mobile number has been awarded with a 2000 £ prize GUARANTEED. Call from 09061790121 land. Claim 3030 line. 12hrs Valid 150ppm only,Spam
318,,iscoming XMAS & ur awarded £ either CD 500 gift vouchers free entry & r 2 £ 100 draw weekly txt MUSIC to 87066 www TnC Ldew. . com1win150ppmx3age16subscription,Spam
319,,Leading the current bid is 151. To auction pause this send OUT Customer. Care 08718726270:,Spam
320,,FREE 1st for week! No1 Nokia tone 4 ur mobile week every just txt NOKIA to Get 8077 txting and tell ur mates. getzed www. . co. uk 36504 POBox 16 W45WQ + norm150p tone /,Spam
321,,", hi SEXYCHAT girls the waiting are for you to text them. now Text for a great night chatting. send to STOP this stop service",Spam
322,,& double Mins Double Txt & 1 / price 2 on Latest Linerental Orange mobiles Bluetooth. MobileUpd8 Call for the latest very offers. or 08000839402 call2optout / LF56,Spam
323,,Have you WON a guaranteed £ cash 1000 or a prize £ 2000. To claim prize yr call our service customer on representative 08714712412 between 10am - 7pm 10p Cost,Spam
324,,Txt CALL: to No 86888: claim & your reward of 3 hours talk time to use from phone your now! / Subscribe6GBP mnth inc 16 3hrs? stop www. txtStop gamb tv.,Spam
325,,WIN £ a Shopping 200 every spree Starting WEEK. NOW 2 play text STORE to 88039. SkilGme TsCs08714740323. 1Winawk! age16 1. 50perweeksub £.,Spam
326,,"Is this the time we 2nd have tried 2 contact u. U have won the £ 750 prize Pound. 2 claim is, easy call NOW1 087187272008! 10p Only per. minute - BT national rate -.",Spam
327,,Your had mobile 11mths? for Update FREE to Oranges colour latest camera unlimited mobiles & weekend calls Call. Upd8 Mobile on 08000839402 freefone 2StopTxt or,Spam
328,,"TheMob> Hit link the get to a Pink premium Panther game, the no new. from 1, Sugababes a crazy animation Zebra or badass a wallpaper Hoody - all FREE 4!",Spam
329,,£ a XMAS REWARD 400 WAITING IS FOR YOU! Our has computer randomly picked you from our mobile loyal customers to receive a £ 400 reward call. Just 09066380611,Spam
330,,Village warner 83118 Colin Farrell C in SWAT this wkend @ Warner Village & get 1 free med. Popcorn! Just show msg + @ ticket. kiosk Valid 4 - 7 12 /. C t c & @ kiosk. Reply SONY mre 4 film offers,Spam
331,,Are you awarded a Digital SiPix! call Camera landline 09061221061 from. Delivery within 28days. T. Cs M221BP Box177. 2yr warranty. 150ppm. 16. p £ p 3. 99,Spam
332,,Your weekly Cool Mob - are tones to ready download! This weeks new Tones include: 1) Crazy Frog AXEL -> F> > 2) Akon Lonely -> > 3> Eyed) Black - Dont P> >> More in info n,Spam
333,,5p 4 Moon alfie ' s Children in need song on ur mob. Tell m8s ur. Tone Txt charity to 8007 Nokias for Poly or for charity: polys 08701417012 zed 2 profit. charity,Spam
334,,PRIVATE! Your Account 2003 for Statement 800 shows un - S redeemed I. M. . points. Call Identifier 08718738002 Code 48922: Expires 21 / / 04 11,Spam
335,,Get the official ENGLAND ringtone poly or colour flag on yer for tonights mobile! game Text TONE or FLAG to. 84199 Optout txt ENG STOP Box39822 £ W111WX 1. 50,Spam
336,,Tried we to you contact re reply your to offer our of a Video Phone 750 anytime any mins network Half Price Line Rental Reply Camcorder or 08000930705 call,Spam
337,,goldviking (/ M 29) is inviting you to be his friend. YES Reply - 762 NO or 762 - See him: . www SMS. / ac u / STOP goldviking? STOP Send FRND 62468 to,Spam
338,,"URGENT You! have won 1 a week FREE in membership our £ 100, Prize 000 Jackpot Txt! the word: CLAIM to No: T 81010 C &. dbuk www. LCCLTD net POBOX 4403LDNW1A7RW18",Spam
339,,IMPORTANT MESSAGE. This is final contact a attempt. You important have messages waiting out customer our claims. dept Expires / 13 4 / 04. Call NOW! 08717507382,Spam
340,,! PRIVATE Account 2003 Your Statement for 800 shows un - S redeemed. I. M points. . Call 08718738001 Code Identifier: 49557 26 Expires / 11 04 /,Spam
341,,"! latest News Police stolen station toilet cops, have nothing to go on!",Spam
342,,* FREE POLYPHONIC * RINGTONE Text SUPER 87131 to to get FREE your POLY of TONE the week now! SN PoBox202 16 7ZS NR31 subscription 450pw,Spam
343,,"You if don ' t, your prize will go another customer to. T C & at www. t -. c biz + 18 / 150p min Ltd Polo Suite 373 London W1J Please 6HL back call if busy",Spam
344,,"Up spook mob your with a Halloween collection of a & logo pic message plus a tone free eerie, CARD txt SPOOK to 8007 08701417012150p logo zed per pic /",Spam
345,,"ou guaranteed are the Nokia latest, Phone a iPod MP3 40GB player or a 500 £ prize! Txt word COLLECT: to No: 83355! IBHltd 150p LdnW15H / Mtmsgrcvd18",Spam
346,,Voda todays numbers ending with 7634 selected are to receive a £ reward 350. you If have a match call please 08712300220 quoting claim standard code 7684 apply rates.,Spam
347,,"Urgent - 09066649731from call Landline Your. 4 complimentary * Ibiza or Holiday £, 10 cash 000 await collection T SAE & Cs BOX 434 PO 8WP SK3 150ppm 18 +",Spam
348,,PRIVATE! 2003 Statement Your Account for 078,Spam
349,,! PRIVATE 2004 Account Your Statement for 078498 * * * * shows 7 786 Points unredeemed Bonus. To claim call 08719180219 Identifier Code: Expires 45239 06 05. . 05,Spam
350,,min 2p per call to 08448350055 Germany from your BT. line Just 2p per min. PlanetTalkInstant Check com. for & info T ' s & C ' s Text. stop to out opt,Spam
351,,Have you won a award guaranteed 32000 or maybe even £ 1000 claim cash to ur award call free on 0800. .. .. (18 + ). Its a efreefone legitimat number wat do u think? ??,Spam
352,,! urgent call Please 09061213237 from. £ landline cash 5000 or a 4 luxury * Islands Canary await Holiday collection. & T SAE Cs PO Box 177. M227XY. 150ppm. 16 +,Spam
353,,URGENT Your! Mobile has number been awarded with a £ GUARANTEED prize 2000. 09061790126 Call from land Claim line. 3030. 12hrs Valid only 150ppm,Spam
354,,"u r subscribed 250 2 TEXTCOMP comp wkly 1st. wk? free s follows question, subsequent charged @ wks 150p / msg 2. txt unsubscribe STOP 2 84128, custcare 08712405020",Spam
355,,Do you want a Nokia New colour 3510i phone DeliveredTomorrow? With 300 free minutes to any + mobile 100 texts free + Free reply Camcorder or 08000930705. call,Spam
356,,"YOU VE WON! 4 Your * Costa Del Sol or Holiday £ 5000 await collection. Now Call toClaim 09050090044. SAE TC, s, POBox334 Stockport, , SK38xh, Cost £ 1. 50 pm /, Max10mins",Spam
357,,You 1 have message new Please. call 08715205273,Spam
358,,Are you being off ripped Get! your content mobile from www. . clubmoby call 08717509990 com poly / true / Pix / / Ringtones six Games downloads for 3 only,Spam
359,,"Service customer. announcement We tried recently to a delivery make to you but unable were to do so, call please 07099833605 to re -. schedule: 9280114 Ref",Spam
4,5.0,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam
5,6.0,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam
30,31.0,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,Spam
33,34.0,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam
44,45.0,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam
